Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
07/06/2015,0,0,0,0,0
06/06/2015,0,0,0,0,0
05/06/2015,0,0,0,0,0
04/06/2015,0,0,0,0,0
03/06/2015,0,0,0,0,0
02/06/2015,0,0,0,0,0
01/06/2015,0,0,0,0,0
31/05/2015,0,0,0,0,0
30/05/2015,0,0,0,0,0
29/05/2015,0,0,0,0,0
28/05/2015,0,0,0,0,0
27/05/2015,0,0,0,0,0
26/05/2015,0,0,0,0,0
25/05/2015,0,0,0,0,0
24/05/2015,0,0,0,0,0
23/05/2015,0,0,0,0,0
22/05/2015,0,0,0,0,0
21/05/2015,0,0,0,0,0
20/05/2015,0,0,0,0,0
19/05/2015,0,0,0,0,0
18/05/2015,0,0,0,0,0
17/05/2015,0,0,0,0,0
16/05/2015,-3,1,-5,8,6
15/05/2015,-2,4,-5,21,10
14/05/2015,-3,1,-5,29,10
13/05/2015,-1,3,-5,56,10
12/05/2015,-1,3,-4,63,10
11/05/2015,1,4,-3,35,8
10/05/2015,-3,2,-5,10,4
09/05/2015,-2,2,-5,8,6
08/05/2015,-1,5,-5,24,7
07/05/2015,-2,2,-5,18,6
06/05/2015,-3,1,-5,13,5
05/05/2015,-2,3,-5,18,4
04/05/2015,-3,1,-5,5,1
03/05/2015,4,5,3,3,1
02/05/2015,-4,-4,-5,2,3
01/05/2015,1,5,-4,10,6
30/04/2015,-3,-1,-5,22,10
29/04/2015,-1,4,-4,26,10
28/04/2015,-3,1,-5,44,10
27/04/2015,-2,3,-5,13,3
26/04/2015,1,4,-3,9,3
25/04/2015,-3,-3,-4,2,5
